shop_id,name,website,myshopify_domain,categories,commission,cookie,payout_rate,payout_period,approval_rate,offer_score,recommend_score,avg_order_value,application_review,offer_status,program_id,mkp_listing_id,apply_url,hashtags,shop_plan
235812,                                         TESLALABS FOR MEME COINS,https://azadm6-ih.myshopify.com,azadm6-ih.myshopify.com,Services,18% per order,30,No data yet,They will be paid at the beginning of every month,0%,0.92,,0,manual,2,274889,36824,https://af.uppromote.com/azadm6-ih/register,"[""""]",Enterprise
94788, Barekmor® Pet Foods,https://barekmorpetfoods.com,barekmorpetfoods.myshopify.com,Pet supplies,15% per order,30,No data yet,,100%,1.37,1.62,25.38,auto,2,108159,22593,https://af-partners.barekmorpetfoods.com/barekmor-pet-foods-UK/register,"[""#petparents"", "" #dog"", "" #dogfood"", ""#grainfree"", ""#hypoallergenic"", ""#dogs"", ""#cats"", ""#puppies"", ""#kitten""]",Free
275314, Bark & Bloom,https://bys-store-3063157-569972.myshopify.com,bys-store-3063157-569972.myshopify.com,Animals & Pet Supplies,15% per order,30,No data yet,"""Net 30 days""",0%,,,0,manual,2,325885,39967,https://af.uppromote.com/bys-store-3063157-569972/register,"[""""]",growth_affiliate
164534, Bella Auset,https://bellaausetboutique.com,e2bb4d-81.myshopify.com,Home & Tools,20% per order,30,0%,,69.23%,0.94,,,manual,2,187124,31880,https://af.uppromote.com/e2bb4d-81/register,"[""#Faith"", "" #Love"", "" #Gratitude"", "" #Inspiration"", "" #Positivity"", "" #Reflection"", "" #Connection"", "" #Purpose"", "" #Joy""]",growth_affiliate
83460, Chu Lo Drinks,https://chu-lo.com,chu-lo-drinks.myshopify.com,Grocery & Food,10% per order,30,No data yet,,2.5%,1.27,1.27,64.22,manual,2,95567,20159,https://af.uppromote.com/chu-lo-drinks/register,[],Free
194656, Healthio,https://healthiomedi.com,27e3ec-b1.myshopify.com,Beauty & Health,20% per order,30,No data yet,,0%,0.9,1.19,0,manual,2,221933,34387,https://af.uppromote.com/27e3ec-b1/register,"[""""]",Free
96207, Koffee Stop ,https://koffeestop.com,koffee-stop.myshopify.com,"Fashion, Beauty & Health",15% per order,30,No data yet,,8.33%,0.72,0.94,0,manual,2,109698,22906,https://af.uppromote.com/koffee-stop/register,"[""#hoodielove #hoodieseason #workoutgear #fitnessfashion #sweatproof #activewear #fitspo #fitfashion #gymstyle #sportswear #athleisure #workoutmotivation #workoutclothes #gymclothes #hoodielife #hoodieaddict #comfystyle #fitnesswear #sweatshirtseason #trainhard""]",Free
196525, Leo&Gabe - Eczemaland ,https://leoandgabe.co.uk,eczemaland.myshopify.com,"Mom & Kids, Beauty & Health, Fashion",10% per order,30,50%,,63.64%,1.17,1.68,30.11,manual,2,224407,34623,https://af.uppromote.com/eczemaland/register,"[""#teething"", ""#motherhood"", ""#eczema"", ""#dryskin"", ""#itchyskin""]",Free
153997, M'ENGLŪ PARIS,https://menglu-paris.com,f3c922.myshopify.com,Fashion,10% per order,30,No data yet,,0%,0.72,0.76,0,manual,2,175119,30889,https://af.uppromote.com/f3c922/register,"[""#streetwear"", ""#fashion"", ""#paris"", ""#elengance"", ""#mode"", ""#brand"", ""#Bekleidung"", ""#clothing""]",Free
166927, Mar Soreli,https://www.marsoreli.com,mar-soreli.myshopify.com,Fashion,10% per order,30,100%,After 30 days to allow for returns.,28.72%,1.6,2.02,244.1,manual,2,189853,32156,https://af.uppromote.com/mar-soreli/register,"[""#flats"", ""#balletflats"", ""#friulane"", ""#handmade"", ""#madeinitaly"", ""#shoes""]",growth_affiliate
42452, Nos Colonnes,https://www.nos-colonnes.com,noscolonnesv1.myshopify.com,"Fashion, Others",10% per order,30,1.34%,,98.57%,2.98,2.98,71.8,auto,2,46935,7898,https://af.uppromote.com/noscolonnes/register,[],Free
195164, RetroRebellion,https://retrorebellionclothing.com,amberjewelryco.myshopify.com,"Fashion, Automobiles & Motorcycles",15% per order,365,No data yet,,40%,0.72,0.94,0,manual,2,222665,35040,https://af.uppromote.com/retrorebellionclothing/register,"[""""]",Free
166900, The Friday Store,https://www.thefriday.store,3246cb-27.myshopify.com,Fashion,5% per order,30,No data yet,,No data yet,,,,manual,2,189824,32152,https://af.uppromote.com/TheFridayStore-05/register,"[""#clothing"", ""#printed"", ""#Hoodie"", ""#oversizedt-shirt""]",Free
147499, Ultimate Online Marketplace,https://bluemarkethub.com,3649f6-2.myshopify.com,"Beauty & Health, Jewelry & Accessories",10% per order,30,No data yet,,100%,0.9,,0,auto,2,167474,29976,https://af.uppromote.com/3649f6-2/register,"[""""]",Free
202496, thetrendhive.com,https://thetrendhive.com,mag1za-6j.myshopify.com,Fashion,10% per order,30,No data yet,,0%,0.62,,,manual,2,232179,35182,https://af.uppromote.com/mag1za-6j/register,"[""""]",Free
111172, ōku ,https://okuenergy.com,okuenergy.myshopify.com,Grocery & Food,10% per order,30,25%,,57.97%,1.62,1.96,34.1,manual,2,126131,26231,https://af.uppromote.com/okuenergy/register,"[""#snacks"", "" #healthy"", "" #wellness"", "" #mom"", ""#teacher"", ""#athelete"", ""#energy"", ""#vegan"", ""#hike"", ""#collegestudent"", ""#collegeathlete"", ""#golf"", ""#energygummies"", ""#flightattendants"", ""#nurses""]",Free
190414,&LIVY,https://andlivy.com,livy-dev.myshopify.com,Jewelry & Accessories,10% per order,30,0%,Monthly basis,94.12%,,,68.2,manual,2,216453,40656,https://af.uppromote.com/livy-dev/register,"[""""]",Professional
63774,&LIVY- Old Version,https://metalalchemist-dev.myshopify.com,metalalchemist-dev.myshopify.com,Jewelry & Accessories,10% per order,30,No data yet,,6.67%,0.92,,,manual,2,72454,14875,https://af.uppromote.com/metalalchemist-dev/register,[],Free
246230,(VVJ) VeroVaultJewelry ,https://verovaultjewelry.myshopify.com,mnmjmn-a7.myshopify.com,"Uncategorized, Apparel & Accessories",10% per order,30,No data yet,"Cookie duration: 30 days
Payment: Monthly (minimum $50 payout)
Commission tracked in real-time dashboard
What You'll Get:

High-quality product images and banners
Promotional content and seasonal campaigns
Dedicated affiliate support
Requirements:

Active",11.11%,1.32,1.45,0,manual,2,287710,37495,https://af.uppromote.com/VeroVaultJewelry/register,"[""""]",growth_affiliate
247189,.gg/retatide,https://retatide.xyz,0hwnkn-s7.myshopify.com,Uncategorized,20% per order,30,No data yet,You'll get a payout week,62.5%,0.92,1.01,0,manual,2,288918,37566,https://af.uppromote.com/retatideaffiliate/register,"[""#glp1"", ""#glp3"", ""#weightloss"", ""#peptides"", ""#fatburning"", ""#ozempic"", ""#retatrutide"", ""#trizepitide"", ""#muscle""]",growth_affiliate
176847,013Tsaka,https://013tsaka.com,fgrnwz-68.myshopify.com,"Fashion, Art",3% per order,30,No data yet,,28.57%,,,,manual,2,201494,33325,https://af.uppromote.com/fgrnwz-68/register,"[""""]",Free
83205,0cm,https://0cm.com/pages/affiliate-programme,0cm76.myshopify.com,"Fashion, Jewelry & Accessories, Beauty & Health",10% per order,30,0%,3 business days,100%,2.84,4.6,77.3,auto,2,95263,20568,https://af.uppromote.com/0cm/register,"[""""]",Professional
83839,1 DROP GALLERY,https://1dropgallery.com,resartgalery.myshopify.com,Art,0% per order,10,No data yet,,11.11%,0.72,0.86,1083.3,manual,2,95996,20235,https://af.uppromote.com/resartgalery/register,[],Free
113748,1 Percent Fitness Store,https://1percentfit.com/pages/how-it-works,1-percent-fitness-store.myshopify.com,"Beauty & Health, Grocery & Food",10% per order,60,83.82%,You will receive payment before the 10th of the month,89%,3.11,4.73,148.3,manual,2,128916,27892,https://af.uppromote.com/1-percent-fitness-store/register,"[""#mealprep"", ""#fitness"", ""#nutrition"", ""#mealservice"", ""#weightloss"", ""#cleaneating"", ""#fitfam"", ""#transformation"", ""#gym"", ""#food"", ""#macros""]",Professional
10000,1 Season At A Time,https://www.1seasonatatime.com,1-season-at-a-time.myshopify.com,"Home & Tools, Books, Mom & Kids",10% per order,30,No data yet,,84.09%,0.87,,,auto,2,10772,311,https://af.uppromote.com/1-season-at-a-time/register,[],Free
58739,100DailyHealth,https://100dailyhealth.com,100dailyhealth.myshopify.com,"Beauty & Health, Grocery & Food, Mom & Kids",$20.00 per item,30,0%,Get Paid Weekly!,41.67%,1.16,1.58,64.7,manual,2,66153,14146,https://af.uppromote.com/100dailyhealth/register,"[""""]",Professional
287515,10COUNT,https://10count.co.uk,thgg0c-xf.myshopify.com,Apparel & Accessories,8% per order,30,No data yet,30 days,100%,,,31.52,manual,2,341707,40704,https://af.uppromote.com/10count/register,"[""#fashion"", ""#apparel"", ""#clothing"", ""#boxing"", ""#fitness"", ""#activewear"", ""#sportswear"", ""#cap"", ""#headwear""]",growth_affiliate
