Shop ID,Tên dự án,Website,Ngành hàng,Hoa hồng,Cookie (ngày),Tỷ lệ chi trả (Payout Rate),Tỷ lệ duyệt (Approval Rate),Điểm Offer (Offer Score),Traffic T6/2026,Traffic T7/2026,Traffic T8/2026,Tăng trưởng (%),Search Ads,Link đăng ký,Quốc gia cho phép
158034,Case X Kingdom,https://casexkingdom.com,"Phone & Telecommunication, Art",20% per order,30,98.65%,100%,3.62,2223,2970,3577,+60.9%,Cho phép,https://af.uppromote.com/CaseXKingdom/register,Toàn cầu (Không giới hạn)
167375,https://silkberrybaby.com/,https://silkberrybaby.com,"Mom & Kids, Fashion, Others",10% per order,7,98.47%,100%,3.57,1935,2466,2536,+31.1%,Cho phép,https://af.uppromote.com/silkberrybaby/register,"Canada, United States"
120199,Lightkiwi,https://www.lightkiwi.com,"Home & Tools, Garden & Outdoors",6% per order,30,96.49%,100%,3.24,5391,7185,12420,+130.4%,Cho phép,https://af.uppromote.com/391f67/register,Toàn cầu (Không giới hạn)
176634,ICEEDRIP,https://www.iceedrip.com,Jewelry & Accessories,25% per order,1,100%,100%,3.12,3859,3964,4741,+22.9%,Cho phép,https://af.uppromote.com/iceedripjewelry/register,Toàn cầu (Không giới hạn)
171625,Maverick Pure Water,https://maverickpurewater.com,"Beauty & Health, Home & Tools",£10.00 per order,30,60.2%,100%,2.32,15446,16194,20889,+35.2%,Cho phép,https://af.uppromote.com/maverick-pure-water/register,Toàn cầu (Không giới hạn)
253431,Sup With Me Coffee,https://supwithmecoffee.com,"Apparel & Accessories, Food, Beverages & Tobacco",12% per order,30,50%,100%,2.2800000000000002,0,551,1868,+186800.0%,Cho phép,https://af.uppromote.com/vfmtse-dx/register,Toàn cầu (Không giới hạn)
244494,Last Call Society,https://www.lastcallsociety.com,"Services, Media, Food, Beverages & Tobacco",20% per order,90,12.5%,100%,2.2,1013,1957,2897,+186.0%,Cho phép,https://affiliate.lastcallsociety.com/lastcallsociety/register,United States
258845,Victory Musical Instruments,https://www.victorymusical.com,Electronics,3.50% per order,30,57.14%,100%,2.09,5040,6556,9275,+84.0%,Cho phép,https://af.uppromote.com/victorymusical/register,Toàn cầu (Không giới hạn)
157134,Mycoterra Farm,https://shop.mycoterrafarm.com/,"Beauty & Health, Garden & Outdoors",15% per order,30,92.86%,100%,2,0,1118,4847,+484700.0%,Cho phép,https://af.uppromote.com/mycoterra-farm/register,Toàn cầu (Không giới hạn)
208926,T.E.R,https://terglow.com,Beauty & Health,10% per order,30,0%,100%,1.8199999999999998,1668,2330,2441,+46.3%,Cho phép,https://af.uppromote.com/07f601/register,Toàn cầu (Không giới hạn)
