shop_id,listing_id,program_id,name,website,myshopify_domain,categories,commission,cookie,payout_rate,approval_rate,offer_score,recommend_score,currency,apply_url,page
68183,36131,77592,NMNBIO,,nmnbio.myshopify.com,"Wellness & Lifestyle, Beauty & Health, Mom & Kids",15% per order,30,91.95%,98.31,3.88,28.48,GBP,https://af.uppromote.com/NMNBio/register,1
101475,37585,115464,lubluelu,,lubluelu.myshopify.com,Home & Tools,5%-7% per order,30,93.35%,76.7,4.2,29.36,EUR,https://af.uppromote.com/lubluelu/register,1
167234,37939,293715,"Cosset, Inc.",,cosset-bath-and-body.myshopify.com,Beauty & Health,12.50% per order,7,98.7%,98.32,4.8,35.42,USD,https://af.uppromote.com/cosset-bath-and-body/register,1
218564,36339,252865,Femme Nativa by Rachael Attard,,rachael-attard-fn.myshopify.com,"Wellness & Lifestyle, Beauty & Health, Others",30% per order,360,98.66%,82.67,4.14,29.89,USD,https://af.uppromote.com/rachael-attard-fn/register,1
219871,36184,254535,Extend-A-Reach,,extand-a-reach.myshopify.com,"Business & Professional services, Garden & Outdoors, Home & Tools",5%-10% per order,30,88.73%,96,4.07,28.08,USD,https://af.uppromote.com/extand-a-reach/register,1
223853,36263,259583,Z-RAM.net,,z-ram.myshopify.com,"Toys & Hobbies, Sports & Entertainment, Adult products",6% per order,30,87.83%,97.35,4.1,30.87,EUR,https://af.uppromote.com/z-ram/register,1
224516,36296,260391,Southern Seeds,,southern-seed-exchange.myshopify.com,Garden & Outdoors,15% per order,30,95.13%,8.24,4.55,32.76,USD,https://af.uppromote.com/seed-therapy/register,1
226253,37594,262597,My Cluck Hut,,my-cluck-hut.myshopify.com,"Beauty & Health, Wellness & Lifestyle",15% per order,30,94.52%,91.39,3.8,27.44,USD,https://af.uppromote.com/my-cluck-hut/register,1
226298,36437,262659,maikoo art,,b0c2b5.myshopify.com,Art,10% per order,30,100%,91.76,3.84,29.45,USD,https://af.uppromote.com/b0c2b5/register,1
229357,36496,266683,JLM Marine Boat Parts Limited,,f218ae-a6.myshopify.com,"Automobiles & Motorcycles, Sports & Entertainment, Home & Tools",15% per order,30,97.71%,96.61,4.07,30.44,USD,https://af.uppromote.com/jlmmarine/register,1
231580,36589,269511,AlfredCamera,,alfredcam-store-tw.myshopify.com,"Electronics, Home & Tools, Garden & Outdoors",5% per order,30,28.74%,85.36,3.8,26.3,USD,https://affiliate.alfred.camera/alfredcam-store-tw/register,1
239203,37046,279087,NUTRIQ,,nutriq-nutrition.myshopify.com,Beauty & Health,20% per order,1,92.4%,47.67,4.3,32.55,EUR,https://af.uppromote.com/nutriq-nutrition/register,1
239809,38409,279828,Arq8 ,,0pgdfx-sp.myshopify.com,Health & Beauty,25% per order,30,85.78%,98.01,3.86,30.53,USD,https://af.uppromote.com/0pgdfx-sp/register,1
241027,37159,281353,Mahjong Studios,,wcuqhu-60.myshopify.com,"Gaming, Retail & Consumer goods, Toys & Hobbies",10% per order,30,96.61%,95.58,4.07,28.25,USD,https://af.uppromote.com/wcuqhu-60/register,1
242722,37287,287377,Passion 4 Health,,health-for-life-store.myshopify.com,Health & Beauty,20% per order,30,83.87%,99.57,4.04,29.41,USD,https://af.uppromote.com/passion4health/register,1
242933,37322,285287,Parfait Lingerie,,parfait-lingerie.myshopify.com,Fashion,15% per order,30,96.84%,18.67,3.74,26.7,USD,https://affiliates.parfaitlingerie.com/parfait-lingerie/register,1
248592,37689,290595,BI-SU,,44vssy-7p.myshopify.com,Health & Beauty,20% per order,30,82.61%,99.01,3.76,26.85,USD,https://af.uppromote.com/bisu/register,1
257216,38462,301530,Hampstead Tea,,hampstead-tea.myshopify.com,Health & Beauty,0% per order,30,61.39%,75.28,3.93,27.82,GBP,https://af.uppromote.com/hampstead-tea/register,1
259809,38725,304872,MidtownUmbrellas.com,,midtownumbrellasusa.myshopify.com,"Furniture, Home & Garden",10% per order,30,95%,13.76,4.08,30.64,USD,https://af.uppromote.com/midtownumbrellas/register,1
