shop_id,name,website,listing_id,page,status,first_seen_at,last_seen_at,missing_at
42452, Nos Colonnes,https://www.nos-colonnes.com/,7898,59,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
287515,10COUNT,https://10count.co.uk,40704,333,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
260420,AGOBI,https://agobi-2.myshopify.com,40114,355,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
278786,ARX LABS,https://thearxlabs.com,40263,350,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
282714,Aeva Pets,https://aevapets.com,40436,355,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
161807,Alpha lifestyle ,https://4bb3e9-9b.myshopify.com,31571,271,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
142284,AlternaPets,https://www.alternapets.com,29470,361,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
176694,Anatolisse,https://www.anatolisse.com,33303,327,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
285341,Angelix Apparel,https://angelixapparel.com/,40687,335,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
87894,AppWell,https://www.weappwell.com/,27972,188,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
285745,Aurora,https://www.aurora-spells.co,40695,337,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
165833,Baby Gains,https://babygains.nl/,34699,25,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
284157,Backyard Pyre,https://backyardpyre.com,40508,337,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
274098,Beershorts,https://beershorts.com,39908,347,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
182511,Bio Renewal USA,https://tbclabusa.co,36546,196,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
142717,Bliss Bliss Giftique,https://blissblisso.myshopify.com,29820,293,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
258731,Bloome Organics,https://neuravella.com.au/,40087,358,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
287265,Bloomfield Bath,https://bloomfieldbath.com,40669,342,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
286749,Bricoza,https://bricoza.com,40659,338,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
12819,Brinyte,https://brinyte.myshopify.com,24485,48,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
283292,Bupba,https://www.bupba.com,40489,353,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
274465,CH Collective,https://chcollective.co.za,39905,351,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
136853,COEGA Sunwear Online Store,https://coegawear.myshopify.com,28901,185,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
108650,Caraline Skincare,https://laura-3caa.myshopify.com,28192,121,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
129458,Charlotte's Web,https://charlottes-web-2.myshopify.com,28163,68,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
53642,Chemhairstry,https://chemhair.com,11605,262,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
280944,Coffee Cloud HN,https://www.coffeecloudhn.cafe,40372,353,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
99864,Cookie Cutter Connection,https://cookie-cutter-connection.myshopify.com,23641,298,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
43781,Coppry,https://coppry.com,8956,272,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
91034,Cure Concept,https://cureconcept.de/,21862,96,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
203415,DPure Elix,https://dpureelix.com/,35263,162,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
264876,DRYSURE NORTH AMERICA,https://na.drysure.co,39159,185,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
282851,Dikova,https://dikovas.com,40452,353,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
256413,Dirtbag Bar,https://www.dirtbagbar.com,38369,118,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
231162,EMRA,https://emra.one,36583,152,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
44004,EVITA PERONI OFFICIAL,https://www.evitaperoni-store.com,39465,334,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
262496,Eat Sleep Dogs,https://www.eatsleepdogs.com,39836,220,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
153176,EcoWise Wellness,https://ecowisesupplements.myshopify.com,30553,2,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
248272,Elevex Labs,https://elevexlabs.com,37664,161,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
42148,EssyCouture,https://essycouture.com/,7782,300,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
238428,Esthetically Jaz Artistry ,https://estheticallyjaz.com,37004,66,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
286241,EverCherish,https://myevercherish.com,40646,345,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
212655,FZKL,https://fzkl.myshopify.com,35781,170,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
108576,Faces By You,https://faces-by-you.myshopify.com,25679,203,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
26601,Flavor & Fire,https://flavorandfire.com/,3196,77,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
285094,Flow Kimonos,https://flowkimonos.com,40559,332,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
109948,FreshGrip,https://freshgrip.co/,25827,152,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
276829,GROWNSY,https://grownsy.com,40418,355,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
146422,Gear Vibe Express,http://gearvibeexpress.com,29892,433,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
54896,Geex Depot,https://www.geexdepot.com,11974,291,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
177574,GiftChakra,https://3167ae-f5.myshopify.com,33401,279,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
282538,Global Wellness Alliance,https://gwahub.com,40446,355,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
250318,HarvestLeaf,https://www.harvestleaf.shop,37845,200,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
57762,Himiwaybike.de,https://himiwaybike.de,28074,77,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
272930,Howhoodisthis,https://howhoodisthis.com,39819,363,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
68948,In Bloom Boutique ,https://shopinbloomboutique.com,17535,132,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
286343,Inland Empire Trading Co.,https://inlandempiretradingco.com,40638,346,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
283307,Jelée,https://getjelee.com,40466,342,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
264357,JubileeTV,https://getjubileetv.com,39170,50,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
275140,KLEVA,https://feelkleva.com,39962,350,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
250355,LinX Vista,https://www.linx-cgms.com,39224,103,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
254954,Lulu-Belle.de,https://lulu-belle.de,38228,97,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
244752,MARINER POET,https://marinerpoet.com,37370,3,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
283149,MASON US,https://masonclothing.com,40482,340,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
261244,Meine-Holzbox,https://www.meine-holzbox.de,38843,61,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
112692,Mersey Raw Dog Food,https://merseyraw.myshopify.com,27444,51,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
60279,Metabolic Transformation,https://metabolictransformation.com,29256,76,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
266580,Mila Brant,https://www.milabrant.com,39305,353,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
287239,Minilumos,,40681,338,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
273809,MissNail Co.,https://missnailco.com,39852,351,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
154999,Mizuji,https://www.mizuji.sg,30771,232,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
279694,Mr. Manny's Moruga Gold,https://mrmannysmorugagold.com,40304,355,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
266853,MÍRALO MARKETPLACE,https://miralomarketplace.com,39394,367,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
279082,NEPTN,https://neptn.us,40310,337,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
253638,Omour,https://www.omourx.com,38116,168,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
287495,Packmaxu,https://packmaxu.com,40686,339,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
51538,Peremis,https://peremis.com,11127,165,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
260233,Pintu,https://www.pintu-design.com,38759,92,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
80729,Pip,https://gopip.myshopify.com,28832,76,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
198293,Place4shop,https://place4shop.com,34931,164,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
287430,Poelle Atelier,https://poelle.com,40678,334,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
47381,Ponderium,https://ponderium.com/,9385,309,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
271998,PreLoved & Luxe,https://www.prelovedandluxe.com,39738,358,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
259364,Prolean Wellness,https://proleanwellness.com/shop,38640,121,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
225751,"PuffPro Vapes | RAZ, Geek Bar, Foger, HQD, Elf Bar & More at Great Prices",https://puff-pros.com,36597,131,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
194166,Pure Cup Store,https://purecup.me,34337,219,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
108386,Pure Formulations,https://onebio.heatlh,35464,380,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
141982,Release Twenty-Two,https://releasetwentytwo.com,29705,328,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
73880,Revitalize Energy,https://revitalize-energy.myshopify.com,18549,217,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
260398,Rich Bitch Conjure,https://richbitchconjure.com,38756,93,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
58239,Rufus'n Team Shop,https://www.rufusnteam.com,12879,320,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
278453,SACK'D,https://wink-house.com,40200,358,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
62394,SG World USA,https://sg-world-usa.myshopify.com,14397,231,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
263391,SHAYDE LONDON™,https://shaydelondon.com,40688,339,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
119768,SadityGirl,https://d900e1-2.myshopify.com,27298,283,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
278644,Shilajit UK ,https://shilajituk.co.uk,40237,352,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
9144,Shop Life and Style ,https://www.shoplifeandstyle.com,181,438,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
252554,Shopportunity,https://shopportunity.live,38541,160,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
266082,Shuntia Symonette,https://www.shuntiasymonetteshop.com,39488,364,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
286250,SkylineStitch,https://skylinestitch.store,40623,348,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
285742,SunBuzz Shop,https://www.sunbuzzdrinks.com,40598,346,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
232184,Sunhouse Global,https://sunhouseglobal.com/,36980,196,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
193460,TEEZY,https://6d8cf6.myshopify.com,34275,48,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
233458,THOB-Beauty,https://thobbeauty.myshopify.com,36698,145,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
221865,TRAVEL DUDE,https://travel-dude.com,40250,355,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
264819,TYH Boutique,https://tyhboutique.com,39156,9,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
260893,Teenage Dirtbag,https://0ja1nx-2k.myshopify.com,38818,199,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
266579,The Belfaire,https://thebelfaire.com,39304,352,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
57265,TheChalkShop,https://thechalkshop.ca,12541,297,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
60099,Treadwell Farms,https://treadwell-farms.myshopify.com,21245,34,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
287469,Treno,https://treno-9195.myshopify.com,40685,339,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
59649,VILO Wooden Eyewear | Australia,https://vilo.com.au,13389,301,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
213131,VINCI. Eyewear,https://vinci-eyewear.com,35867,14,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
134362,Wanderwuuds,https://wanderwuuds.myshopify.com,28599,282,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
86713,Warwood Tool,https://warwood-tool.myshopify.com,28164,104,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
262724,Wildherz,https://wildherz-outdoor.de,38983,218,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
270656,Xenon Smart,https://shop.xenonsmart.com,39625,359,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
217467,Zellart Canvas Prints,https://www.zellart.com,35996,173,missing,2026-09-18T05:48:41+00:00,,2026-09-18T05:48:41+00:00
