shop_id,name,website,listing_id,page,status,first_seen_at,last_seen_at,missing_at
263411,ARBA Global,,40717,343,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
43018,Angelina Belle Boutique ,,8096,179,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289201,BFF Jewels,,40749,336,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
285232,Beauty Scents Candles,,40741,335,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289156,Chadsworth and Haig | Luxury Hotel and Spa Robes,,40747,333,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288637,Chrysolites,,40734,339,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288493,Dailydream,,40745,330,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288167,Dawnproof,,40712,342,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
96735,Ebbrox,,40737,331,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289271,Elias Sports,,40753,335,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
206204,FEMME LA,,40728,335,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288413,Gluten Free Nomad,,40725,343,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289247,HARMONICS,,40750,335,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
279367,KOVA Athletic,,40743,331,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288152,Keezy’s Fashion,,40710,343,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
287933,Kenkyu Labs,,40714,339,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
286853,KickDopa,,40763,332,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289120,KnitPal,,40764,330,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
120412,Litheli,,40730,336,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289015,Lotus Beauty Co.,,40757,328,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
280642,Love for Laundry,,40740,330,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
263447,LumaRed,,39039,181,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
255460,MOEBEER,,40726,342,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
285700,Monolight Saunas,,40736,336,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289256,Montauk Tea,,40751,334,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289307,My Store 3,,40755,334,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289442,My Store 4,,40759,332,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289449,My Store 5,,40760,332,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289457,My Store 7,,40761,332,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289458,My Store 8,,40762,332,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
284637,Owkar,,40723,339,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288615,PROXY REALMS ,,40732,329,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
287762,Plat Du Jour ,,40720,330,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
160287,Ridstarebike,,40721,329,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288536,SkinAuraLabs,,40727,337,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
280457,Sn00zly ,,40713,337,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
275116,Studio Malek,,40707,343,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
232093,The Cell Salt Company,,40744,337,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
287686,The Good Carb,,40758,333,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
275862,The Library of Alexandria,,40731,342,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288756,Tovah Coffee Co. ,,40739,328,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289241,Toven Candles,,40756,334,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
288593,Velvet Lane,,40729,341,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
289048,WILClothing,,40754,335,new,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
