shop_id,name,website,listing_id,page,status,first_seen_at,last_seen_at,missing_at
235812,                                         TESLALABS FOR MEME COINS,https://azadm6-ih.myshopify.com,36824,367,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
94788, Barekmor® Pet Foods,https://barekmorpetfoods.com/,22593,152,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
275314, Bark & Bloom,https://bys-store-3063157-569972.myshopify.com,39967,359,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
164534, Bella Auset,https://e2bb4d-81.myshopify.com,31880,394,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
83460, Chu Lo Drinks,https://chu-lo-drinks.myshopify.com,20159,195,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
194656, Healthio,https://healthiomedi.com,34387,212,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
96207, Koffee Stop ,https://koffee-stop.myshopify.com,22906,270,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
196525, Leo&Gabe - Eczemaland ,https://eczemaland.myshopify.com,34623,153,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
153997, M'ENGLŪ PARIS,https://f3c922.myshopify.com,30889,319,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
166927, Mar Soreli,https://www.marsoreli.com,32156,113,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
195164, RetroRebellion,https://retrorebellionclothing.com/,35040,265,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
166900, The Friday Store,https://www.thefriday.store/,32152,416,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
147499, Ultimate Online Marketplace,https://bluemarkethub.com,29976,429,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
202496, thetrendhive.com,https://mag1za-6j.myshopify.com,35182,381,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
111172, ōku ,https://okuenergy.myshopify.com,26231,121,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
190414,&LIVY,https://andlivy.com,40656,335,still,2026-09-18T05:48:41+00:00,2026-09-18T05:48:41+00:00,
